"","Scientific_Name","Acronym","SE.RELATIONSHIP","FAMILY","C.Value","Common_Name","Family"
"47","Calopogon barbatus","CALBAR","#ERROR!","Orchidaceae",10,"Bearded Grasspink","Orchidaceae"
"48","Carphephorus carnosus","LITCAR2","#ERROR!","Asteraceae",8,"Pineland Chaffhead","Asteraceae"
"49","Carphephorus corymbosus","CARCOR3","#ERROR!","Asteraceae",8,"Coastalplain Chaffhead; Florida Paintbrush","Asteraceae"
"50","Carphephorus paniculatus","TRIPAN","#ERROR!","Asteraceae",8,"Hairy Chaffhead","Asteraceae"
"51","Centella asiatica","CENERE","<","Apiaceae",2,"Spadeleaf","Araliaceae"
"52","Centrosema virginianum","CENVIR","#ERROR!","Fabaceae",4,"Spurred Butterfly Pea","Fabaceae"
"53","Chamaecrista fasciculata","CHAFASF","<","Fabaceae",5,"Partridge Pea","Fabaceae"
"54","Chaptalia tomentosa","CHATOM","#ERROR!","Asteraceae",7,"Woolly Sunbonnets; Pineland Daisy","Asteraceae"
"55","Chrysopsis mariana","CHRMAR","#ERROR!","Asteraceae",5,"Maryland Goldenaster","Asteraceae"
"56","Cirsium horridulum","CIRHORH","<","Asteraceae",4,"Purple Thistle","Asteraceae"
"57","Cirsium nuttallii","CIRNUT","#ERROR!","Asteraceae",0,"Nuttall's Thistle","Asteraceae"
"58","Cladium jamaicense","CLAJAM","#ERROR!","Cyperaceae",5,"Jamaica Swamp Sawgrass","Cyperaceae"
"59","Coelorachis rugosa","MNERUG","#ERROR!","Poaceae",7,"Wrinkled Jointtailgrass","Poaceae"
"60","Conoclinium coelestinum","CONCOE","<","Asteraceae",5,"Blue Mistflower","Asteraceae"
"61","Coreopsis floridana","CORFLO2","#ERROR!","Asteraceae",8,"Florida Tickseed","Asteraceae"
"62","Coreopsis leavenworthii","CORLEW","<","Asteraceae",4,"Leavenworth's Tickseed","Asteraceae"
"63","Crotalaria rotundifolia","CROROT","<","Fabaceae",7,"Rabbitbells","Fabaceae"
"64","Ctenium aromaticum","CTEARO","#ERROR!","Poaceae",9,"Toothachegrass","Poaceae"
"65","Cyperus esculentus","CYPESCL","<","Cyperaceae",NA,NA,NA
"66","Cyperus haspan","CYPHAS","#ERROR!","Cyperaceae",3,"Haspan Flatsedge","Cyperaceae"
"67","Cyperus ovatus","CYPOVA","#ERROR!","Cyperaceae",NA,NA,NA
"68","Cyperus polystachyos","CYPPOL","<","Cyperaceae",3,"Manyspike Flatsedge","Cyperaceae"
"69","Dalea carnea var. carnea","DALCAR","#ERROR!","Fabaceae",NA,NA,NA
"70","Dichanthelium aciculare","DICNEU","<","Poaceae",7,"Needleleaf Witchgrass","Poaceae"
"71","Dichanthelium commutatum","DICCOMJ","<","Poaceae",7,"Variable Witchgrass","Poaceae"
"72","Dichanthelium commutatum","DICCOMC","<","Poaceae",7,"Variable Witchgrass","Poaceae"
"73","Dichanthelium dichotomum","DICCAE","<","Poaceae",6,"Cypress Witchgrass","Poaceae"
"74","Dichanthelium dichotomum","DICDICN","<","Poaceae",6,"Cypress Witchgrass","Poaceae"
"75","Dichanthelium ensifolium var. unciphyllum","DICCHA","<","Poaceae",6,"Cypress Witchgrass","Poaceae"
"76","Dichanthelium ensifolium var. unciphyllum","DICTEN","<","Poaceae",6,"Cypress Witchgrass","Poaceae"
"77","Dichanthelium erectifolium","DICERE","#ERROR!","Poaceae",7,"Erectleaf Witchgrass","Poaceae"
"78","Dichanthelium laxiflorum","DICLAX","#ERROR!","Poaceae",6,"Openflower Witchgrass","Poaceae"
"79","Dichanthelium leucothrix","DICLEU","<","Poaceae",6,"Rough Witchgrass","Poaceae"
"80","Dichanthelium ovale","DICCOM2","<","Poaceae",7,"Eggleaf Witchgrass","Poaceae"
"81","Dichanthelium portoricense","DICPORP1","<","Poaceae",7,"Hemlock Witchgrass","Poaceae"
"82","Dichanthelium portoricense","DICLAN1","<","Poaceae",7,"Hemlock Witchgrass","Poaceae"
"83","Dichanthelium portoricense","DICPORP2","<","Poaceae",7,"Hemlock Witchgrass","Poaceae"
"84","Dichanthelium portoricense","DICWEB","<","Poaceae",7,"Hemlock Witchgrass","Poaceae"
"85","Dichanthlium strigosum var. glabrescens","DICSTRG","#ERROR!","Poaceae",NA,NA,NA
"86","Diodia virginiana","DIOHAR","<","Rubiaceae",2,"Virginia Buttonweed","Rubiaceae"
"87","Drosera brevifolia","DROBRE","#ERROR!","Droseraceae",9,"Dwarf Sundew","Droseraceae"
"88","Drosera capillaris","DROCAP","#ERROR!","Droseraceae",7,"Pink Sundew","Droseraceae"
"89","Dyschoriste oblongifolia","DYSOBL","#ERROR!","Acanthaceae",8,"Oblongleaf Snakeherb","Acanthaceae"
"90","Eleocharis baldwinii","ELEBAL","#ERROR!","Cyperaceae",3,"Baldwin's Spikerush; Roadgrass","Cyperaceae"
"91","Eleocharis flavescens","ELEFLAF","<","Cyperaceae",6,"Yellow Spikerush; Pale Spikerush","Cyperaceae"
"92","Elephantopus elatus","ELEELA","#ERROR!","Asteraceae",7,"Tall Elephantsfoot","Asteraceae"
"93","Eragrostis atrovirens","ERAATR","#ERROR!","Poaceae",NA,NA,NA
"94","Eragrostis elliottii","ERAELL","#ERROR!","Poaceae",2,"Elliott's Lovegrass","Poaceae"
"95","Eragrostis virginica","ERAREF","?","Poaceae",4,"Coastal Lovegrass","Poaceae"
"96","Erechtites hieraciifolius","EREHIE","<","Asteraceae",3,"American Burnweed; Fireweed","Asteraceae"
"97","Erigeron quercifolius","ERIQUE","#ERROR!","Asteraceae",3,"Oakleaf Fleabane","Asteraceae"
"98","Erigeron vernus","ERIVER","#ERROR!","Asteraceae",5,"Early Whitetop Fleabane","Asteraceae"
"99","Eriocaulon compressum","ERICOM","#ERROR!","Eriocaulaceae",8,"Flattened Pipewort","Eriocaulaceae"
"100","Eriocaulon decangulare","ERIDECD","<","Eriocaulaceae",8,"Tenangle Pipewort","Eriocaulaceae"
"101","Eriochloa michauxii var. michauxii","ERIMICM","#ERROR!","Poaceae",NA,NA,NA
"102","Eryngium baldwinii","ERYBAL","#ERROR!","Apiaceae",8,"Baldwin's Eryngo","Apiaceae"
"103","Eryngium yuccifolium","ERYYUCS","<","Apiaceae",8,"Button Rattlesnakemaster; Button Eryngo","Apiaceae"
"104","Eulophia alta","EULALT","#ERROR!","Orchidaceae",4,"Wild Coco","Orchidaceae"
"105","Eulophia graminea","EULGRA","#ERROR!","Orchidaceae",NA,NA,NA
"106","Eupatorium capillifolium","EUPCAP","#ERROR!","Asteraceae",1,"Dogfennel","Poaceae"
"107","Eupatorium leptophyllum","EUPLEP","#ERROR!","Asteraceae",8,"Falsefennel","Asteraceae"
"108","Eupatorium mohrii","EUPREC","<","Asteraceae",7,"Mohr's Thoroughwort","Asteraceae"
"109","Eupatorium rotundifolium","EUPROT","<","Asteraceae",4,"Roundleaf Thoroughwort; False Horehound","Asteraceae"
"110","Euphorbia polyphylla","EUPPOL4","#ERROR!","Euphorbiaceae",7,"Lesser Florida Spurge","Euphorbiaceae"
"111","Eustachys petraea","EUSPET","#ERROR!","Poaceae",2,"Pinewoods Fingergrass","Poaceae"
"112","Euthamia caroliniana","EUTCAR","#ERROR!","Asteraceae",5,"Slender Flattop Goldenrod","Asteraceae"
"113","Fimbristylis autumnalis","FIMAUT","#ERROR!","Cyperaceae",4,"Slender Fimbry","Cyperaceae"
"114","Fimbristylis puberula","FIMPUB","<","Cyperaceae",7,"Hairy Fimbry","Cyperaceae"
"115","Fimbristylis spadicea","FIMCAS","<","Cyperaceae",8,"Marsh Fimbry","Cyperaceae"
"116","Fuirena breviseta","FUIBRE","#ERROR!","Cyperaceae",4,"Saltmarsh Umbrellasedge","Cyperaceae"
"117","Fuirena scirpoidea","FUISCI","<","Cyperaceae",5,"Southern Umbrellasedge","Cyperaceae"
"118","Galactia elliottii","GALELL","#ERROR!","Fabaceae",7,"Elliott's Milkpea","Fabaceae"
"119","Gaylussacia dumosa","GAYDUM","<","Ericaceae",8,"Dwarf Huckleberry","Ericaceae"
"120","Gratiola hispida","SOPHIS","#ERROR!","Plantaginaceae",7,"Rough Hedgehyssop","Veronicaceae"
"121","Gratiola pilosa","SOPPIL","#ERROR!","Plantaginaceae",7,"Shaggy Hedgehyssop","Veronicaceae"
"122","Gratiola ramosa","GRARAM","#ERROR!","Plantaginaceae",7,"Branched Hedgehyssop","Veronicaceae"
"123","Habenaria floribunda","HABFLO","#ERROR!","Orchidaceae",4,"Toothpetal False Rein Orchid","Orchidaceae"
"124","Helenium pinnatifidum","HELPIN","#ERROR!","Asteraceae",8,"Southeastern Sneezeweed","Asteraceae"
"125","Helianthus angustifolius","HELANG1","#ERROR!","Asteraceae",6,"Narrowleaf Sunflower; Swamp Sunflower","Asteraceae"
"126","Helianthus radula","HELRAD","#ERROR!","Asteraceae",6,"Stiff Sunflower","Asteraceae"
"127","Heliotropium polyphyllum","EUPPOL3","#ERROR!","Heliotropiaceae",3,"Pineland Heliotrope","Boraginaceae"
"128","Hydrocotyle umbellata","HYDUMB","#ERROR!","Araliaceae",4,"Manyflower Marshpennywort","Araliaceae"
"129","Hypericum cistifolium","HYPCIS","#ERROR!","Hypericaceae",7,"Roundpod St.John's-Wort","Clusiaceae"
"130","Hypericum fasciculatum","HYPFAS","#ERROR!","Hypericaceae",7,"Sandweed; Peelbark St.John's-Wort","Clusiaceae"
"131","Hypericum hypericoides","HYPHYP","#ERROR!","Hypericaceae",7,"St.Andrew's-Cross","Clusiaceae"
"132","Hypericum myrtifolium","HYPMYR","#ERROR!","Hypericaceae",7,"Myrtleleaf St.John's-Wort","Clusiaceae"
"133","Hypericum tenuifolium","HYPTEN","#ERROR!","Hypericaceae",NA,NA,NA
"134","Hypericum tetrapetalum","HYPTET","#ERROR!","Hypericaceae",7,"Fourpetal St.John's-Wort","Clusiaceae"
"135","Hypoxis juncea","HYPJUN","#ERROR!","Hypoxidaceae",8,"Fringed Yellow Stargrass","Hypoxidaceae"
"136","Hyptis alata","HYPALAA","<","Lamiaceae",5,"Clustered Bushmint; Musky Mint","Lamiaceae"
"137","Ilex cassine var. cassine","ILECAS","#ERROR!","Aquifoliaceae",NA,NA,NA
"138","Ilex glabra","ILEGLA","#ERROR!","Aquifoliaceae",7,"Inkberry; Gallberry","Aquifoliaceae"
"139","Imperata cylindrica","IMPCYL","#ERROR!","Poaceae",NA,NA,NA
"140","Ipomoea sagittata","IPOSAG","#ERROR!","Convolvulaceae",6,"Saltmarsh Morning-Glory","Convolvulaceae"
"141","Iva microcephala","IVAMIC","#ERROR!","Asteraceae",8,"Piedmont Marshelder","Asteraceae"
"142","Juncus marginatus","JUNBIF","<","Juncaceae",5,"Shore Rush; Grassleaf Rush","Juncaceae"
"143","Juncus megacephalus","JUNMEG","#ERROR!","Juncaceae",4,"Bighead Rush","Juncaceae"
"144","Juncus scirpoides","JUNSCIS","<","Juncaceae",6,"Needlepod Rush","Juncaceae"
"145","Kosteletzkya pentacarpos","KOSPEN","<","Malvaceae",NA,NA,NA
"146","Lachnanthes caroliana","LACCAR","#ERROR!","Haemodoraceae",6,"Carolina Redroot","Haemodoraceae"
"147","Lachnocaulon anceps","LACANC","#ERROR!","Eriocaulaceae",8,"Whitehead Bogbutton","Eriocaulaceae"
"148","Lechea torreyi","LECTORT","<","Cistaceae",7,"Piedmont Pinweed","Cistaceae"
"149","Liatris garberi","LIAGAR","#ERROR!","Asteraceae",8,"Garber's Gayfeather","Asteraceae"
"150","Liatris spicata","LIARES","<","Asteraceae",7,"Dense Gayfeather","Asteraceae"
"151","Liatris tenuifolia var. quadriflora","LIAQUA","#ERROR!","Asteraceae",8,"Shortleaf Gayfeather","Asteraceae"
"152","Lilium catesbaei","LILCAT","#ERROR!","Liliaceae",8,"Catesby's Lily; Pine Lily","Liliaceae"
"153","Linum medium var. texanum","LINCUR","#ERROR!","Linaceae",7,"Stiff Yellow Flax","Linaceae"
"154","Lobelia feayana","LOBFEA","#ERROR!","Campanulaceae",5,"Bay Lobelia","Campanulaceae"
"155","Lobelia glandulosa","LOBGLA","#ERROR!","Campanulaceae",7,"Glade Lobelia","Campanulaceae"
"156","Lobelia paludosa","LOBPAL","#ERROR!","Campanulaceae",7,"White Lobelia","Campanulaceae"
"157","Ludwigia maritima","LUDMAR","#ERROR!","Onagraceae",6,"Seaside Primrosewillow","Onagraceae"
"158","Ludwigia microcarpa","LUDMIC","#ERROR!","Onagraceae",3,"Smallfruit Primrosewillow","Onagraceae"
"159","Ludwigia peruviana","LUDPER","#ERROR!","Onagraceae",NA,NA,NA
"160","Ludwigia suffruticosa","LUDSUF","#ERROR!","Onagraceae",7,"Shrubby Primrosewillow","Onagraceae"
"161","Lycopodiella ×copelandii","LYCCOP","#ERROR!","Lycopodiaceae",NA,NA,NA
"162","Lycopodiella alopecuroides","LYCALO","#ERROR!","Lycopodiaceae",NA,NA,NA
"163","Lycopodiella appressa","LYCAPP","#ERROR!","Lycopodiaceae",8,"Southern Club-Moss","Lycopodiaceae"
"164","Lycopodiella prostrata","LYCPRO","#ERROR!","Lycopodiaceae",NA,NA,NA
"165","Lygodesmia aphylla","LYGAPH","#ERROR!","Asteraceae",7,"Rose-Rush","Asteraceae"
"166","Lygodium microphyllum","LYGMIC","#ERROR!","Lygodiaceae",NA,NA,NA
"167","Lyonia fruticosa","LYOFRU","#ERROR!","Ericaceae",7,"Coastalplain Staggerbush","Ericaceae"
"168","Lyonia lucida","LYOLUC","#ERROR!","Ericaceae",7,"Fetterbush","Ericaceae"
"169","Magnolia virginiana","MAGVIRA","<","Magnoliaceae",8,"Sweetbay","Magnoliaceae"
"170","Marshallia graminifolia","MARANG","<","Asteraceae",9,"Grassleaf Barbara's Buttons","Asteraceae"
"171","Mecardonia acuminata ssp. peninsularis","MECACUP","#ERROR!","Plantaginaceae",NA,NA,NA
"172","Mikania scandens","MIKSCA","<","Asteraceae",3,"Climbing Hempvine","Asteraceae"
"173","Mimosa quadrivalvis var. floridana","MIMFLO","#ERROR!","Fabaceae",4,"Florida Sensitive Brier","Fabaceae"
"174","Mitreola sessilifolia","MITSES","#ERROR!","Loganiaceae",7,"Swamp Hornpod","Loganiaceae"
"175","Muhlenbergia capillaris var. filipes","MUHSER","#ERROR!","Poaceae",7,"Gulf Hairawn Muhle","Poaceae"
"176","Myrica cerifera","MORPUM","<","Myricaceae",4,"Southern Bayberry; Wax Myrtle","Myricaceae"
"177","Myrica cerifera","MORCER","<","Myricaceae",4,"Southern Bayberry; Wax Myrtle","Myricaceae"
"178","Nyssa sylvatica var. biflora","NYSBIF","<","Nyssaceae",9,"Swamp Tupelo","Cornaceae"
"179","Oclemena reticulata","OCLRET","#ERROR!","Asteraceae",7,"Whitetop Aster; Pinebarren Aster","Asteraceae"
"180","Oldenlandia uniflora","EDRUNI","#ERROR!","Rubiaceae",4,"Clustered Mille Graines","Rubiaceae"
"181","Osmunda cinnamomea","OSMCIN","#ERROR!","Osmundaceae",8,"Cinnamon Fern","Osmundaceae"
"182","Osmunda regalis var. spectabilis","OSMSPE","#ERROR!","Osmundaceae",7,"Royal Fern","Osmundaceae"
"183","Oxypolis filiformis ssp. filiformis","TIEFILF","#ERROR!","Apiaceae",NA,NA,NA
"184","Panicum anceps","COLANCR","<","Poaceae",7,"Beaked Panicum","Poaceae"
"185","Panicum hemitomon","HYMHEM","#ERROR!","Poaceae",4,"Maidencane","Poaceae"
"186","Panicum hians","STEHIA","#ERROR!","Poaceae",6,"Gaping Panicum","Poaceae"
"187","Panicum longifolium","COLLONL","<","Poaceae",NA,NA,NA
"188","Panicum repens","PANREP","#ERROR!","Poaceae",NA,NA,NA
"189","Panicum rigidulum","COLRIGR","<","Poaceae",6,"Redtop Panicum","Poaceae"
"190","Panicum rigidulum","COLRIGC","<","Poaceae",6,"Redtop Panicum","Poaceae"
"191","Panicum tenerum","COLTEN","#ERROR!","Poaceae",7,"Bluejoint Panicum","Poaceae"
"192","Panicum verrucosum","KELVER","#ERROR!","Poaceae",5,"Warty Panicgrass","Poaceae"
"193","Paspalum conjugatum","PASCON","#ERROR!","Poaceae",2,"Sour Paspalum; Hilograss","Poaceae"
"194","Paspalum laeve","PASLON","<","Poaceae",7,"Field Paspalum","Poaceae"
"195","Paspalum notatum var. notatum","PASNOT",">","Poaceae",NA,NA,NA
"196","Paspalum praecox","PASPRAP","<","Poaceae",4,"Early Paspalum","Poaceae"
"197","Paspalum setaceum","PASSETS1","<","Poaceae",2,"Thin Paspalum","Poaceae"
"198","Persea palustris","PERPAL","#ERROR!","Lauraceae",6,"Swamp Bay","Lauraceae"
"199","Phlebodium aureum","PHLAUR","#ERROR!","Polypodiaceae",3,"Golden Polypody","Polypodiaceae"
"200","Phyla nodiflora","PHYNODN","<","Verbenaceae",2,"Turkey Tangle Fogfruit; Capeweed","Verbenaceae"
"201","Physalis heterophylla","PHYHET","#ERROR!","Solanaceae",NA,NA,NA
"202","Physalis walteri","PHYWAL","#ERROR!","Solanaceae",6,"Walter's Groundcherry","Solanaceae"
"203","Pinguicula caerulea","PINCAE","#ERROR!","Lentibulariaceae",10,"Blueflower Butterwort","Lentibulariaceae"
"204","Pinguicula lutea","PINLUT","#ERROR!","Lentibulariaceae",7,"Yellow Butterwort","Lentibulariaceae"
"205","Pinguicula pumila","PINPUM","#ERROR!","Lentibulariaceae",8,"Small Butterwort","Lentibulariaceae"
"206","Pinus elliottii","PINDEN","<","Pinaceae",4,"Slash Pine","Pinaceae"
"207","Pinus palustris","PINPAL","#ERROR!","Pinaceae",6,"Longleaf Pine","Pinaceae"
"208","Piriqueta cistoides ssp. caroliniana","PIRVIR","<","Turneraceae",NA,NA,NA
"209","Pityopsis graminifolia","PITTRA","<","Asteraceae",5,"Narrowleaf Silkgrass","Asteraceae"
"210","Pluchea baccharis","PLUBAC","#ERROR!","Asteraceae",NA,NA,NA
"211","Pluchea foetida","PLUFOEF","<","Asteraceae",6,"Stinking Camphorweed","Asteraceae"
"212","Pogonia ophioglossoides","POGOPH","#ERROR!","Orchidaceae",7,"Rose Pogonia; Snakemouth Orchid","Orchidaceae"
"213","Polygala balduinii","POLBAL1","<","Polygalaceae",7,"Baldwin's Milkwort","Polygalaceae"
"214","Polygala cruciata","POLCRU","<","Polygalaceae",7,"Drumheads","Polygalaceae"
"215","Polygala incarnata","POLINC","#ERROR!","Polygalaceae",8,"Procession Flower","Polygalaceae"
"216","Polygala lutea","POLLUT","#ERROR!","Polygalaceae",6,"Orange Milkwort","Polygalaceae"
"217","Polygala ramosa","POLRAM","#ERROR!","Polygalaceae",6,"Low Pinebarren Milkwort","Polygalaceae"
"218","Polygala rugelii","POLRUG","#ERROR!","Polygalaceae",6,"Yellow Milkwort","Polygalaceae"
"219","Polygala setacea","POLSET2","#ERROR!","Polygalaceae",7,"Coastalplain Milkwort","Polygalaceae"
"220","Polypremum procumbens","POLPRO","#ERROR!","Tetrachondraceae",1,"Rustweed; Juniperleaf","Euphorbiaceae"
"221","Proserpinaca pectinata","PROPEC","#ERROR!","Haloragaceae",7,"Combleaf Mermaidweed","Haloragaceae"
"222","Pteridium aquilinum var. pseudocaudatum","PTEPSE","#ERROR!","Dennstaedtiaceae",4,"Tailed Bracken","Dennstaedtiaceae"
"223","Pterocaulon pycnostachyum","PTEPYC","#ERROR!","Asteraceae",6,"Blackroot","Asteraceae"
"224","Quercus minima","QUEMIN","#ERROR!","Fagaceae",8,"Dwarf Live Oak","Fagaceae"
"225","Quercus nigra","QUENIG","#ERROR!","Fagaceae",4,"Water Oak","Fagaceae"
"226","Quercus pumila","QUEELL","#ERROR!","Fagaceae",NA,NA,NA
"227","Quercus virginiana","QUEVIR","#ERROR!","Fagaceae",4,"Live Oak","Fagaceae"
"228","Rhexia mariana","RHEMARM","<","Melastomataceae",6,"Pale Meadowbeauty","Melastomataceae"
"229","Rhexia nashii","RHENAS","#ERROR!","Melastomataceae",5,"Maid Marian","Melastomataceae"
"230","Rhexia nuttallii","RHENUT","#ERROR!","Melastomataceae",7,"Nuttall's Meadowbeauty","Melastomataceae"
"231","Rhus copallinum","RHUCOPC","<","Anacardiaceae",5,"Winged Sumac","Anacardiaceae"
"232","Rhynchospora baldwinii","RHYBAL","#ERROR!","Cyperaceae",9,"Baldwin's Beaksedge","Cyperaceae"
"233","Rhynchospora breviseta","RHYGAL","#ERROR!","Cyperaceae",9,"Shortbristle Beaksedge","Cyperaceae"
"234","Rhynchospora cephalantha","RHYCEPC","<","Cyperaceae",7,"Bunched Beaksedge","Cyperaceae"
"235","Rhynchospora chapmanii","RHYCHA2","#ERROR!","Cyperaceae",8,"Chapman's Beaksedge","Cyperaceae"
"236","Rhynchospora ciliaris","RHYCIL","#ERROR!","Cyperaceae",9,"Fringed Beaksedge","Cyperaceae"
"237","Rhynchospora colorata","RHYCOL","#ERROR!","Cyperaceae",4,"Starrush Whitetop","Cyperaceae"
"238","Rhynchospora decurrens","RHYSPN","<","Cyperaceae",NA,NA,NA
"239","Rhynchospora divergens","RHYDIV","#ERROR!","Cyperaceae",5,"Spreading Beaksedge","Cyperaceae"
"240","Rhynchospora fascicularis","RHYFAS","<","Cyperaceae",6,"Fascicled Beaksedge","Cyperaceae"
"241","Rhynchospora fascicularis","RHYDIS","<","Cyperaceae",6,"Fascicled Beaksedge","Cyperaceae"
"242","Rhynchospora filifolia","RHYFIL","#ERROR!","Cyperaceae",7,"Threadleaf Beaksedge","Cyperaceae"
"243","Rhynchospora globularis","RHYREC","<","Cyperaceae",6,"Globe Beaksedge","Cyperaceae"
"244","Rhynchospora globularis","RHYPIN2","<","Cyperaceae",6,"Globe Beaksedge","Cyperaceae"
"245","Rhynchospora inundata","RHYINU","<","Cyperaceae",6,"Narrowfruit Horned Beaksedge","Cyperaceae"
"246","Rhynchospora latifolia","RHYLAT","#ERROR!","Cyperaceae",8,"Giant Whitetop; Sandswamp Whitetop","Cyperaceae"
"247","Rhynchospora microcarpa","RHYMIC1","#ERROR!","Cyperaceae",3,"Southern Beaksedge","Cyperaceae"
"248","Rhynchospora microcephala","RHYMIC2","#ERROR!","Cyperaceae",6,"Bunched Beaksedge","Cyperaceae"
"249","Rhynchospora plumosa","RHYPLU","<","Cyperaceae",7,"Plumed Beaksedge","Cyperaceae"
"250","Rhynchospora pusilla","RHYPUS","#ERROR!","Cyperaceae",5,"Fairy Beaksedge","Cyperaceae"
"251","Rhynchospora rariflora","RHYRAR","#ERROR!","Cyperaceae",7,"Fewflower Beaksedge","Cyperaceae"
"252","Rhynchospora tracyi","RHYTRA","#ERROR!","Cyperaceae",8,"Tracy's Beaksedge","Cyperaceae"
"253","Rudbeckia hirta","RUDHIRF","<","Asteraceae",4,"Blackeyed Susan","Asteraceae"
"254","Sabal palmetto","SABPAL","#ERROR!","Arecaceae",2,"Cabbage Palm","Arecaceae"
"255","Sabatia grandiflora","SABGRA","#ERROR!","Gentianaceae",7,"Largeflower Rosegentian","Gentianaceae"
"256","Sabatia stellaris","SABSTE","#ERROR!","Gentianaceae",4,"Rose-Of-Plymouth","Gentianaceae"
