Plot (1mx1m),Species,% Cover,Notes
WP15,Bare ground,0,
WP15,CWD,0,
WP15,Leaf material,10,
WP15,ARIBEY,8,
WP15,LITCAR,4,
WP15,CTEARO,3,
WP15,EUPREC,2,
WP15,ANDDEA,1,
WP15,SOLVIR,1,
WP15,VIOPRI,3,
WP15,LIARES,4,
WP15,SCLMUE,2,
WP15,SCLPAU,1,
WP15,ERIDEC,4,
WP15,FUISCI,2,
WP15,DICPOR,3,
WP15,XYRFLA,1,
WP15,XYRCAR,1,
WP15,RHEMAR,1,
WP15,DROCAP,1,
WP15,RHENUT,1,
WP15,XYESMA,1,
WP15,RHYPUS,1,
WP15,RHYFAS,1,
WP15,ELEBAL,1,
WP15,XYRELL,1,
WP16,,,
WP17,,,
WP18,,,
WP19,,,
WP20,,,
SF1,Bare ground,6,"SERREP, QUEGEM IN PLOT"
SF1,CWD,6,"SERREP, QUEGEM IN PLOT"
SF1,Leaf material,8,"SERREP, QUEGEM IN PLOT"
SF1,QUEMYR,6,"SERREP, QUEGEM IN PLOT"
SF1,GAYDIM,6,"SERREP, QUEGEM IN PLOT"
SF1,SERREP,5,"SERREP, QUEGEM IN PLOT"
SF1,ARITEN,3,"SERREP, QUEGEM IN PLOT"
SF1,UN1,3,"SERREP, QUEGEM IN PLOT"
SF1,BEJRAC,6,"SERREP, QUEGEM IN PLOT"
SF1,QUEMIN,4,"SERREP, QUEGEM IN PLOT"
SF2,Bare ground,7,
SF2,CWD,0,
SF2,Leaf material,7,
SF2,QUEMIN,3,
SF2,CNISTI,1,
SF2,ARIBEY,5,
SF2,ARITEN,4,
SF2,LIALAE,5,
SF2,EUPPOL,2,
SF2,SOPHIS,2,
SF2,DICCHA,1,
SF2,LACBEY,1,
SF2,ARIGYR,2,
SF2,LIAQUA,2,
SF2,LECTOR VAR. TOR,1,
SF3,Bare ground,6,LYOFER shrub over plot
SF3,CWD,2,
SF3,Leaf material,9,
SF3,QUECHA,6,
SF3,QUEMYR,8,
SF4,Bare ground,0,QUEMYR IN PLOT
SF4,CWD,6,QUEMYR IN PLOT
SF4,Leaf material,10,QUEMYR IN PLOT
SF4,SERREP,7,QUEMYR IN PLOT
SF4,QUECHA,5,QUEMYR IN PLOT
SF4,QUEGEM,5,QUEMYR IN PLOT
SF4,SMIAUR,1,QUEMYR IN PLOT
SF5,Bare ground,0,LYOFRU & SERREP IN PLOT
SF5,CWD,6,LYOFRU & SERREP IN PLOT
SF5,Leaf material,10,LYOFRU & SERREP IN PLOT
SF5,SERREP,6,LYOFRU & SERREP IN PLOT
SF5,LYOFRU,3,LYOFRU & SERREP IN PLOT
SF5,MORPUM,2,LYOFRU & SERREP IN PLOT
SF6,Bare ground,0,
SF6,CWD,1,
SF6,Leaf material,10,
SF6,SERREP,6,
SF6,QUECHA,5,
SF6,QUEGEM,7,
SF6,VACSTA ,1,
SF6,LYOFRU,3,
SF7,Bare ground,7,
SF7,CWD,0,
SF7,Leaf material,5,
SF7,SERREP,8,
SF7,VACMYR,5,
SF7,QUEMYR,2,
SF8,Bare ground,6,
SF8,CWD,0,
SF8,Leaf material,8,
SF8,SERREP,6,
SF8,LYOLUC,7,
SF8,QUECHA,2,
SF8,GAYDUM,4,
SF9,Bare ground,1,
SF9,CWD,4,
SF9,Leaf material,8,
SF9,ARIBEY,7,
SF9,QUEMIN,6,
SF9,LYOFRU,4,
SF9,SERREP,6,
SF9,EUPPOL,2,
SF9,SMIAUR,2,
SF9,HOUPRO,4,
SF9,POLNAN,1,
SF9,LECTOR,1,
SF9,DICBRE,6,
SF9,ANDCAM,2,
SF10,Bare ground,0,QUEMYR IN PLOT
SF10,CWD,5,QUEMYR IN PLOT
SF10,Leaf material,9,QUEMYR IN PLOT
SF10,QUEMYR,5,QUEMYR IN PLOT
SF10,GAYDUM,4,QUEMYR IN PLOT
SF10,SMIAUR,1,QUEMYR IN PLOT
SF10,QUEMIN,4,QUEMYR IN PLOT
SF10,LYOFRU,4,QUEMYR IN PLOT
SF10,ARIBEY,2,QUEMYR IN PLOT
