Plot (1mx1m),Species,% Cover,Notes
WP12,ERIDEC,4,
WP12,DICERE,6,
WP12,ANDCAP,2,
WP12,LACANC,3,
WP12,LIARES,4,
WP12,SOLVIR,1,
WP12,XYRELL,1,
WP12,VIOPRI,2,
WP12,DIOHAR,1,
WP12,RHEMAR,1,
WP12,TIEFIL,1,
WP12,EUTCAR,1,
WP12,LUDMAR,1,
WP13,Bare ground,0,
WP13,CWD,0,
WP13,Leaf material,10,
WP13,ARIBEY,8,
WP13,XYRELL,4,
WP13,QUEMIN,3,
WP13,FUISCI,2,
WP13,HYPMYR,2,
WP13,ANDDEA,1,
WP13,RHYFAS,4,
WP13,ERIDEC,2,
WP13,VIOVIT,1,
WP13,SCLMUE,3,
WP13,SCLPAU,2,
WP13,ELEBAL,3,
WP13,SYNFLA,2,
WP13,DICPOR,1,
WP13,SABGRA,1,
WP14,Bare ground,0,
WP14,CWD,0,
WP14,Leaf material,10,
WP14,ARIBEY,8,
WP14,QUEMIN,4,
WP14,ERIDEC,5,
WP14,ANDCAP,2,
WP14,ANDCAM,2,
WP14,HYPCIS,1,
WP14,SOLVIR,4,
WP14,DICPOR,4,
WP14,FUISCI,3,
WP14,XYRELL,1,
WP14,VIOVIT,1,
WP14,DICWEB,3,
WP15,Bare ground,1,
WP15,CWD,0,
WP15,Leaf material,10,
WP15,ARIBEY,7,
WP15,CTEARO,6,
WP15,ANDDEA,3,
WP15,ELEBAL,7,
WP15,RHYFAS,3,
WP15,ERIDEC,5,
WP15,LACANC,4,
WP15,FUISCI,2,
WP15,LITCAR,4,
WP15,LIARES,1,
WP15,DICPOR,4,
WP15,DROCAP,1,
WP15,CHATOM,1,
WP15,SLOVIR,1,
WP15,VIOPRI,1,
WP15,VIOVIT,1,
WP15,SCLMUE,1,
WP16,,,
WP17,,,
WP18,,,
WP19,,,
WP20,,,
SF1,Bare ground,7,QUEGEM IN PLOT
SF1,CWD,4,QUEGEM IN PLOT
SF1,Leaf material,8,QUEGEM IN PLOT
SF1,QUEMYR,7,QUEGEM IN PLOT
SF1,SERREP,6,QUEGEM IN PLOT
SF1,GAYDUM,5,QUEGEM IN PLOT
SF1,QUECHA,6,QUEGEM IN PLOT
SF2,Bare ground,3,"LYOLUC, QUEMYR OVER PLOT"
SF2,CWD,7,"LYOLUC, QUEMYR OVER PLOT"
SF2,Leaf material,9,"LYOLUC, QUEMYR OVER PLOT"
SF2,GEOOBL,5,"LYOLUC, QUEMYR OVER PLOT"
SF2,ASIRIT,1,"LYOLUC, QUEMYR OVER PLOT"
SF2,ARIBEY,5,"LYOLUC, QUEMYR OVER PLOT"
SF2,DICWEB,1,"LYOLUC, QUEMYR OVER PLOT"
SF2,LIAQUA,1,"LYOLUC, QUEMYR OVER PLOT"
SF2,PINCLA,4,"LYOLUC, QUEMYR OVER PLOT"
SF2,ARIGYR,2,"LYOLUC, QUEMYR OVER PLOT"
SF2,LIALAE,1,"LYOLUC, QUEMYR OVER PLOT"
SF2,PTEPSE,1,"LYOLUC, QUEMYR OVER PLOT"
SF2,QUEMYR,5,"LYOLUC, QUEMYR OVER PLOT"
SF3,Bare ground,0,
SF3,CWD,1,
SF3,Leaf material,9,
SF3,GAYDUM,1,
SF3,QUEHEM,4,
SF3,QUECHA,6,
SF3,SERREP,6,IN THE CORNER OF THE PLOT
SF3,SMIAUR,2,
SF3,QUEMYR,2,
SF4,Bare ground,0,QUEMYR IN PLOT
SF4,CWD,5,QUEMYR IN PLOT
SF4,Leaf material,10,QUEMYR IN PLOT
SF4,SERREP,7,QUEMYR IN PLOT
SF4,LYOFRU,6,QUEMYR IN PLOT
SF4,QUEMYR,6,QUEMYR IN PLOT
SF4,QUECHA,6,QUEMYR IN PLOT
SF4,SMIAUR,5,QUEMYR IN PLOT
SF5,Bare ground,0,QUEMYR IN PLOT
SF5,CWD,5,QUEMYR IN PLOT
SF5,Leaf material,10,QUEMYR IN PLOT
SF5,QUEMYR,1,QUEMYR IN PLOT
SF5,SERREP,4,QUEMYR IN PLOT
SF5,QUECHA,4,QUEMYR IN PLOT
SF5,LYOFRU,4,QUEMYR IN PLOT
SF6,Bare ground,0,
SF6,CWD,2,
SF6,Leaf material,10,
SF6,QUEMYR,8,
SF6,QUECHA,2,
SF6,VACSTA,6,
SF7,Bare ground,6,
SF7,CWD,1,
SF7,Leaf material,7,
SF7,LYOLUC,8,
SF7,SERREP,5,
SF7,QUEMIN,4,
SF7,ARIBEY,4,
SF7,VACSTA,1,
SF7,LYOFRU,3,
SF7,GALREG,1,
SF7,VACMYR,1,
SF8,Bare ground,4,
SF8,CWD,0,
SF8,Leaf material,9,
SF8,QUEMYR,9,
SF8,GAYDUM,5,
SF9,Bare ground,7,Cow patty in plot
SF9,CWD,2,
SF9,Leaf material,7,
SF9,ARIBEY,6,
SF9,QUEMIN,5,
SF9,LYOFRU,5,
SF9,VACMYR,2,
SF9,SERREP,3,
SF9,MINQUA,3,
SF9,DICBRE,6,
SF9,EUPCAP,2,
SF9,DICSTR var GLA,5,
SF9,HOUPRO,4,
SF9,RHENUT,2,
SF10,Bare ground,0,QUEGEM IN PLOT
SF10,CWD,0,QUEGEM IN PLOT
SF10,Leaf material,9,QUEGEM IN PLOT
SF10,SERREP,9,QUEGEM IN PLOT
SF10,ARIBRY,8,QUEGEM IN PLOT
SF10,VACMYR,5,QUEGEM IN PLOT
SF10,GAYDUM,5,QUEGEM IN PLOT
SF10,TEPCHR,5,QUEGEM IN PLOT
SF10,DICBRE,1,QUEGEM IN PLOT
SF10,DQUEMIN,1,QUEGEM IN PLOT
SF10,DICCHA,1,QUEGEM IN PLOT
