Plot (1mx1m),Species,% Cover,Notes
SF3,LYOFRU,2,LYOFRU in plot
SF3,QUEHEM,7,LYOFRU in plot
SF3,UN 4,1,LYOFRU in plot
SF4,Bare ground,5,
SF4,CWD,3,
SF4,Leaf material,9,
SF4,QUECHA,7,
SF4,QUEMYR,6,
SF4,GALELL,4,
SF5,Bare ground,2,
SF5,CWD,5,
SF5,Leaf material,9,
SF5,SERREP,7,
SF5,VACMYR,1,
SF6,Bare ground,0,
SF6,CWD,5,
SF6,Leaf material,9,
SF6,QUEGEM,7,
SF6,QUEMYR,6,
SF6,SERREP,1,
SF7,Bare ground,7,
SF7,CWD,1,
SF7,Leaf material,6,
SF7,LYOLUC,7,
SF7,VACMYR,5,
SF7,SERREP,6,
SF7,QUEMYR,6,
SF7,QUECHA,4,
SF8,Bare ground,9,
SF8,CWD,0,
SF8,Leaf material,6,
SF8,SERREP,5,
SF8,QUEMIN,1,
SF8,QUEMYR,6,
SF8,GAYDUM,7,
SF8,ARIBEY,2,
SF8,DICPOR VAR. POR,2,
SF8,VACMYR,1,
SF8,SMIAUR,1,
SF9,Bare ground,4,
SF9,CWD,5,
SF9,Leaf material,8,
SF9,ARIBEY,7,
SF9,EUPPOL,4,
SF9,QUEMIN,8,
SF9,LYOFRU,4,
SF9,VACMYR,5,
SF9,RHENUT,1,
SF9,MINQUA,4,
SF9,DICBRE,6,
SF9,DICTEN,1,
SF9,SERREP,1,
SF10,Bare ground,1,LYOFRU IN PLOT
SF10,CWD,3,LYOFRU IN PLOT
SF10,Leaf material,9,LYOFRU IN PLOT
SF10,SERREP,9,LYOFRU IN PLOT
SF10,VACMYR,4,LYOFRU IN PLOT
SF10,GEOOBL,5,LYOFRU IN PLOT
SF10,DICBRE,1,LYOFRU IN PLOT
SF10,ARIBEY,5,LYOFRU IN PLOT
SF10,TEPCHR,1,LYOFRU IN PLOT
SF10,LYOFRU,4,LYOFRU IN PLOT
