Plot (1mx1m),Species,% Cover,Notes
MF8,RHYFAS,1,
MF9,Bare ground,5,
MF9,CWD,2,
MF9,Leaf material,8,
MF9,SERREP,8,
MF9,ARIBEY,9,
MF9,PTEPYC,4,
MF9,LECTOR,4,
MF9,PILRIG,6,
MF9,QUEMIN,4,
MF9,ANDCAM,1,
MF9,DICPOR var POR,4,
MF9,RHYPUS,3,
MF9,RHYPLU,3,
MF9,DICWEB,4,
MF10,Bare ground,6,
MF10,CWD,1,
MF10,Leaf material,6,
MF10,SERREP,9,
MF10,ILEGLA,6,
MF10,GAYDUM,2,
MF10,CARCOR,5,
MF10,VACMYR,5,
MF10,ARIBEY,6,
MF10,ARIRHI,6,
MF10,PLOSET,1,
MF10,HYPMYR,1,
MF10,RHENUT,1,
MF10,DICSTR var. GLA,3,
MF10,Unknown DIC 1,5,
MF10,Unknown HOU (RB uploaded to INAT),1,
MF10,DICTEN,2,
MF10,DICPOR,1,
MF11,Bare ground,3,
MF11,CWD,4,
MF11,Leaf material,6,
MF11,SERREP,8,
MF11,ELEBAL,7,
MF11,HOUPRO,5,
MF11,LYOLUC,7,
MF11,MORPUM,8,
MF11,OCLRET,3,
MF11,DICPOR var POR,5,
MF11,DICSTR var GLA,5,
MF11,ANDCAB,2,
MF11,ERIGIG,3,
MF11,ERIVER,5,
MF11,ANDVIR var Smooth,5,
MF12,Bare ground,5,
MF12,CWD,0,
MF12,Leaf material,9,
MF12,ILEGLA,6,
MF12,SERREP,6,
MF12,ARIBEY,8,
MF12,OCLRET,2,
MF12,QUEMIN,2,
MF12,VACMYR,5,
MF12,LYOFRU,2,
MF12,DICPORPOR,6,
MF12,PINCAE,3,
MF12,DICWEB,5,
MF12,DICTEN,5,
MF12,UN4 ARI,5,
MF13,Bare ground,0,
MF13,CWD,6,
MF13,Leaf material,9,
MF13,QUEMYR,7,
MF13,QUEMIN,7,
MF13,ILEGLA,6,
MF13,SERREP,6,
MF13,VACMYR,5,
MF13,UN2,6,
MF13,ARIBEY,6,
MF13,UN3 ,7,
MF13,DICWEB,4,
MF14,Bare ground,9,
MF14,CWD,0,
MF14,Leaf material,1,
MF14,ARIBEY,8,
MF14,FIMPUB,4,
MF14,HYPJUN,1,
MF14,RHENUT,3,
MF14,ERIVER,3,
MF14,PITTRA,6,
MF14,XYRCAR,1,
MF14,DICSTR VAR GLA,4,
MF14,DICTEN,4,
MF14,POLSET,3,
MF14,EUPREC,1,
MF14,ANDVIR,2,
MF14,SYSNAS,1,
MF15,Bare ground,5,
MF15,CWD,0,
MF15,Leaf material,9,
MF15,ERYARO,3,
MF15,SERREP,6,
MF15,PITTRA,4,
MF15,QUEMIN,8,
MF15,PTEPYC,1,
MF15,TEPHIS,1,
MF15,MIMQUA,6,
MF15,SOPHIS,3,
MF15,ARIBEY,6,
MF15,EUPPOL,2,
MF15,ANDVIR,3,
MF15,DICWEB,1,
MF15,DICTEN,1,
MF15,XYRCAR,1,
MF16,Bare ground,3,
MF16,CWD,3,
MF16,Leaf material,8,
MF16,SERREP,6,
MF16,LYOFRU,6,
MF16,ARIBEY,9,
MF16,OCLRET,2,
MF16,ANDCAM,4,
MF16,DICLEU,2,
MF16,ANDCAP,1,
MF16,PITTRA,3,
MF16,DICTEN,1,
MF16,DICPOR var POR,3,
MF16,QUEMIN,3,
MF16,MIMFLO,1,
MF16,VACMYR,3,
MF17,Bare ground,7,
MF17,CWD,0,
MF17,Leaf material,8,
MF17,ARIBEY,8,
MF17,XYRELL,6,
MF17,QUEMIN,5,
MF17,LITCAR,4,
MF17,SYNFLA,3,
MF17,RHEMAR var MAR,3,
MF17,SOLVIR,1,
MF17,HYPTET,1,
MF17,DICSTE var GLA,4,
MF17,DICPOR var POR,1,
MF17,FIMPUB,1,
MF17,ARISPI,1,
MF17,BULSTE,4,
MF17,FIMAUT,2,
MF17,ERICOM,3,
MF17,AXOFUR,4,
MF18,Bare ground,0,
MF18,CWD,0,
MF18,Leaf material,10,
MF18,SERREP,9,
MF18,VACMYR,1,
MF18,BIGAUS,2,
MF18,DICCHA,1,
MF19,Bare ground,3,SERREP in plot
MF19,CWD,5,SERREP in plot
MF19,Leaf material,9,SERREP in plot
MF19,SERREP,8,SERREP in plot
MF19,ILEGLA,6,SERREP in plot
MF19,TEPHIS,3,SERREP in plot
MF19,OCLRET,2,SERREP in plot
MF19,ANDCAP,1,SERREP in plot
MF19,ANDCAM,3,SERREP in plot
MF19,VACMYR,3,SERREP in plot
MF19,ARIBEY,2,SERREP in plot
MF19,EUPCAT,2,SERREP in plot
MF19,RHENUT,4,SERREP in plot
MF19,DICTEN,1,SERREP in plot
MF20,Bare ground,4,
MF20,CWD,1,
MF20,Leaf material,8,
MF20,SERREP,8,
MF20,ARIBEY,8,
MF20,QUECHA,5,
MF20,LAYLUC,5,
MF20,ANDCAB,1,
MF20,HIUPRO,2,
MF20,DICCHA,2,
DP1,Bare ground,8,
DP1,CWD,2,
DP1,Leaf material,1,
DP1,SERREP,4,
DP1,ARIBEY,6,
DP1,ANDVIR var smooth,6,
DP1,QUEMIN,4,
DP1,PITTRA,4,
DP1,LIAQUA,2,
DP1,CHATOM,2,
DP1,EUPREC,5,
DP1,ARIRHI,4,
DP1,DICCHA,3,
DP1,DICTEN,5,
DP1,DICSTR vsr GLA,3,
DP1,ASIRET,2,
DP1,DICWEB,2,
DP1,HYPJUN,2,
DP2,Bare ground,8,
DP2,CWD,5,
DP2,Leaf material,2,
DP2,SERREP,2,
DP2,ARIBEY,5,
DP2,QUEMIN,6,
DP2,PITTRA,5,
DP2,PTEPYC,4,
DP2,LYOFRU,3,
DP2,SOPHIS,2,
DP2,FUISCI,4,
DP2,HYPJUN,5,
DP2,BUCFLO,1,
DP2,MIMFLO,4,
DP2,DICCHA,2,
DP2,SYNFLA,2,
DP2,ASIRET,2,
DP2,RHYFAS,4,
DP2,XYRELL,3,
DP2,Unknown 1 DP,1,
DP3,Bare ground,6,
DP3,CWD,2,
DP3,Leaf material,5,
DP3,SERREP,7,
DP3,ARIBEY,8,
DP3,QUEPUM,8,
DP3,VACMYR,6,
DP3,QUEMIN,3,
DP3,GAYDUM,3,
DP3,SOPHIS,2,
DP3,PETPYC,1,
DP3,PITTRA,5,
DP3,MIMFLO,4,
DP3,GALREG,2,
DP3,DICCHA,4,
DP3,DICPOR var POR,3,
DP3,XYRCAR,1,
DP3,ANDVIR var Smooth,1,
DP3,AXOFUR,3,
DP3,PLONAN,1,
DP3,ARISPI var SPI,3,
DP4,,,
DP5,,,
WP1,,,
WP2,,,
WP3,,,
WP4,,,
WP5,,,
WP6,,,
WP7,,,
WP8,,,
WP9,,,
WP10,,,
WP11,,,
WP12,,,
WP13,,,
WP14,,,
WP15,,,
WP16,,,
WP17,,,
WP18,,,
WP19,,,
WP20,,,
SF1,Bare ground,0,"QUEGEM, SERREP IN PLOY"
SF1,CWD,6,
SF1,Leaf material,10,
SF1,LYOFRU,6,
SF1,QUEMIN,6*,
SF1,GAYDUM,6*,
SF2,Bare ground,0,"SERREP IN PLOT, LYOLUC OVER PLOT"
SF2,CWD,6,"SERREP IN PLOT, LYOLUC OVER PLOT"
SF2,Leaf material,9,"SERREP IN PLOT, LYOLUC OVER PLOT"
SF2,SERREP,6,"SERREP IN PLOT, LYOLUC OVER PLOT"
SF2,ARIBEY,6,"SERREP IN PLOT, LYOLUC OVER PLOT"
SF2,GEOOBL,5,"SERREP IN PLOT, LYOLUC OVER PLOT"
SF3,Bare ground,4,
SF3,CWD,0,
SF3,Leaf material,7,
SF3,SERREP,7,
SF3,QUEHEM,6,
SF3,LYOFRU,3,
SF3,LIALAE,2,
SF4,Bare ground,6,
SF4,CWD,4,
SF4,Leaf material,7,
SF4,SERREP,7,
SF4,QUECHA,7,
SF4,GALELL,4,
SF4,SMIAUR,2,
SF4,CARCOR,6,
SF5,Bare ground,1,SERREP IN PLOT
SF5,CWD,6,SERREP IN PLOT
SF5,Leaf material,10,SERREP IN PLOT
SF5,SERREP,5,SERREP IN PLOT
SF5,QUECHA,4,SERREP IN PLOT
SF5,LYOFRU,4,SERREP IN PLOT
SF6,Bare ground,1,
SF6,CWD,5,
SF6,Leaf material,9,
SF6,SERREP,8,
SF6,LYOFRU,1,
SF6,PHLAUR,1,
SF7,Bare ground,6,
SF7,CWD,1,
SF7,Leaf material,7,
SF7,QUEMYR,8,
SF7,VACMYR,6,
SF8,Bare ground,1,
SF8,CWD,2,
SF8,Leaf material,10,
SF8,QUEMYR ,7,
SF8,LYOLUC,7,
SF8,VACMYR,5,
SF8,GAYDUM,2,
SF9,Bare ground,1,
SF9,CWD,2,
SF9,Leaf material,9,
SF9,SERREP,6,
SF9,LYOFRU,6,
SF9,GALELL,3,
SF9,ARIBEY,7,
SF9,EDRUNI,4,
SF9,DICBRE,2,
SF9,DICPOR SPP. POR,2,
SF9,DICCHA,1,
SF9,ANDCUM,3,
SF9,CROMAR,1,
SF10,Bare ground,6,
SF10,CWD,4,
SF10,Leaf material,9,
SF10,SERREP,9,
SF10,LYOFRU,5,
SF10,ARIBEY,7,
SF10,GATDUM,5,
SF10,SMIAUR,2,
SF10,QUEGEM,2,
SF10,QUEMYR,3,
SF10,DICCHA,2,
SF10,DICBRE,1,
SF10,DICSTR var GLA,1,
